ea01id;ea01dtemis;ea01dtentrega;ea01vlr10
16054881;01/03/2023;16/03/2023;189.6203463
16055255;01/03/2023;16/03/2023;215.5398268
16061791;01/03/2023;01/03/2023;159.2558442
16055287;01/03/2023;16/03/2023;77.76839827
16055229;01/03/2023;16/03/2023;156.074026
16055210;01/03/2023;16/03/2023;72.23939394
16055067;01/03/2023;14/03/2023;1498.394372
16061777;01/03/2023;01/03/2023;200.7675325
16061704;01/03/2023;01/03/2023;203.8181818
16055148;01/03/2023;16/03/2023;155.7627706
16054914;01/03/2023;16/03/2023;118.0116883
16054940;01/03/2023;16/03/2023;118.0116883
16054995;01/03/2023;16/03/2023;105.4186147
16061763;01/03/2023;01/03/2023;197.6038961
16060014;01/03/2023;11/03/2023;932.1073593
16061749;01/03/2023;01/03/2023;184.1714286
16061732;01/03/2023;01/03/2023;138.8168831
16061574;01/03/2023;01/03/2023;323.6025974
16061588;01/03/2023;01/03/2023;230.2532468
16061602;01/03/2023;01/03/2023;145.5519481
16061620;01/03/2023;01/03/2023;260.7792208
16061634;01/03/2023;01/03/2023;111.5441558
16061648;01/03/2023;11/03/2023;508.4376623
16055171;01/03/2023;16/03/2023;72.23939394
16061819;01/03/2023;01/03/2023;42.35844156
16061831;01/03/2023;01/03/2023;126.9285714
16069294;03/03/2023;18/03/2023;123.3562771
16068855;03/03/2023;18/03/2023;319.9095238
16068910;03/03/2023;18/03/2023;69.75454545
16071074;03/03/2023;15/03/2023;80.92727273
16070630;03/03/2023;15/03/2023;191.2354978
16068806;03/03/2023;18/03/2023;319.9095238
16069340;03/03/2023;18/03/2023;84.76753247
16069217;03/03/2023;18/03/2023;229.8787879
16068999;03/03/2023;16/03/2023;78.64718615
16069273;03/03/2023;18/03/2023;142.974026
16069315;03/03/2023;18/03/2023;285.4199134
16069191;03/03/2023;18/03/2023;229.8787879
16069327;03/03/2023;14/03/2023;69.11428571
16068944;03/03/2023;18/03/2023;115.4471861
